Category,LCS Length,Count
comment,2,25
comment,3,90
comment,4,66
comment,5,23
comment,6,8
efficiency,2,7
efficiency,3,25
efficiency,4,61
efficiency,5,59
efficiency,6,60
functionality,2,8
functionality,3,54
functionality,4,73
functionality,5,48
functionality,6,29
modularity,2,19
modularity,3,68
modularity,4,80
modularity,5,33
modularity,6,12
robustness,1,1
robustness,2,17
robustness,3,57
robustness,4,77
robustness,5,45
robustness,6,15
simplicity,2,1
simplicity,3,21
simplicity,4,47
simplicity,5,48
simplicity,6,95
standardization,2,2
standardization,3,23
standardization,4,63
standardization,5,56
standardization,6,68
